participant_id,session_id,condition,total_session_duration_ms,num_disengagement_events,num_resumed_events,reengagement_success_rate,median_resume_latency_ms,mean_resume_latency_ms,effective_focused_time_ms,effective_focused_time_ratio,num_nonverbal_only_success,num_voice_escalations,num_voice_success,num_highlight_events
wenfei,session_20260322_wenfei_07c430,with_system,10470.5,0,0,,,,10470.5,1.0,0,0,0,0
wenfei,session_20260322_wenfei_3f7aed,with_system,257616.0,1,0,0.0,,,257616.0,1.0,0,1,0,1
wenfei,session_20260322_wenfei_6ede9b,with_system,28252.6,0,0,,,,28252.6,1.0,0,0,0,0
wenfei,session_20260322_wenfei_760026,with_system,183263.7,1,0,0.0,,,183263.7,1.0,0,0,0,0
wenfei,session_20260322_wenfei_a91bc1,with_system,277162.2,0,0,,,,277162.2,1.0,0,0,0,0
wenfei,session_20260322_wenfei_b3196e,with_system,220879.2,2,2,1.0,6545.0,6545.0,207789.2,0.9407,2,0,0,0
wenfei,session_20260322_wenfei_b3fef7,with_system,470571.9,6,5,0.8333,7370.0,17356.0,321581.9,0.6834,5,1,0,1
wenfei,session_20260322_wenfei_c6ceac,with_system,127312.1,2,2,1.0,7940.0,7940.0,111432.1,0.8753,2,0,0,0
wenfei,session_20260322_wenfei_db44f8,with_system,57284.1,0,0,,,,57284.1,1.0,0,0,0,0
wenfei,session_20260322_wenfei_f61764,with_system,38332.6,0,0,,,,38332.6,1.0,0,0,0,0
wenfei,session_20260331_wenfei_436cef,with_system,557953.3,2,1,0.5,22500.0,22500.0,474713.3,0.8508,1,1,0,1
wenfei,session_20260331_wenfei_66131d,with_system,792515.3,2,2,1.0,6285.0,6285.0,779945.3,0.9841,2,0,0,0
wenfei,session_20260331_wenfei_69043f,with_system,42114.0,0,0,,,,42114.0,1.0,0,0,0,0
wenfei,session_20260331_wenfei_83da58,with_system,333509.9,0,0,,,,333509.9,1.0,0,0,0,0
wenfei,session_20260331_wenfei_88c039,with_system,111211.8,0,0,,,,111211.8,1.0,0,0,0,0
wenfei,session_20260331_wenfei_bd3932,with_system,24030.5,0,0,,,,24030.5,1.0,0,0,0,0
wenfei,session_20260331_wenfei_d1f561,with_system,186891.3,2,2,1.0,12355.0,12355.0,162181.3,0.8678,2,0,0,0
wenfei,session_20260331_wenfei_d6a809,with_system,156143.8,4,3,0.75,7590.0,7916.7,132393.8,0.8479,3,0,0,0
wenfei,session_20260331_wenfei_dc54f7,with_system,295035.7,2,2,1.0,8165.0,8165.0,278705.7,0.9447,2,0,0,0
wenfei,session_20260331_wenfei_e9c29c,with_system,726949.0,1,1,1.0,23890.0,23890.0,703059.0,0.9671,1,0,0,0
wenfei,session_20260401_wenfei_07d380,with_system,216596.2,1,1,1.0,23890.0,23890.0,192706.2,0.8897,1,0,0,0
wenfei,session_20260401_wenfei_1809ac,with_system,237372.0,2,1,0.5,25310.0,25310.0,149312.0,0.629,1,1,0,1
wenfei,session_20260401_wenfei_314cc1,with_system,610522.1,5,4,0.8,7640.0,10135.0,509672.1,0.8348,4,1,0,1
wenfei,session_20260401_wenfei_43c941,with_system,195850.7,2,1,0.5,14320.0,14320.0,120880.7,0.6172,1,1,0,1
wenfei,session_20260401_wenfei_5002f2,with_system,253661.8,2,2,1.0,4535.0,4535.0,244591.8,0.9642,2,0,0,0
wenfei,session_20260401_wenfei_654bff,with_system,172517.7,1,1,1.0,8900.0,8900.0,163617.7,0.9484,1,0,0,0
wenfei,session_20260401_wenfei_6e3f3a,with_system,76521.6,0,0,,,,76521.6,1.0,0,0,0,0
wenfei,session_20260401_wenfei_851a9b,with_system,222799.6,2,1,0.5,19760.0,19760.0,139909.6,0.628,1,1,0,1
wenfei,session_20260401_wenfei_b32cdd,with_system,13582.5,0,0,,,,13582.5,1.0,0,0,0,0
wenfei,session_20260401_wenfei_bae9dd,with_system,167101.0,2,2,1.0,13340.0,13340.0,140421.0,0.8403,2,0,0,0
wenfei,session_20260401_wenfei_ce9acb,with_system,368938.9,0,0,,,,368938.9,1.0,0,0,0,0
wenfei,session_20260401_wenfei_f2368a,with_system,1058849.2,2,1,0.5,48030.0,48030.0,948349.2,0.8956,1,1,0,1
wenwenfei,session_20260401_wenwenfei_e6b803,with_system,88428.8,1,0,0.0,,,88428.8,1.0,0,0,0,0
wenfei,session_20260402_wenfei_00d90d,with_system,457366.1,3,3,1.0,23700.0,26250.0,378616.1,0.8278,3,0,0,0
wenfei,session_20260402_wenfei_586b8c,with_system,551093.0,2,1,0.5,20730.0,20730.0,466943.0,0.8473,1,1,0,1
wenfei,session_20260402_wenfei_95a682,with_system,295005.3,4,2,0.5,9450.0,9450.0,213035.3,0.7221,2,1,0,1
wenfei,session_20260402_wenfei_a3bab8,with_system,161419.8,0,0,,,,161419.8,1.0,0,0,0,0
